mmsi,timestamp,latitude,longitude,speed,course,status,ais_active,navigational_status,heading,rot
783480433,2026-09-03T16:24:00Z,-58.1738,-141.1029,26.2,113.3,Moored,False,8,161.9,53.9
566572399,2026-08-02T17:02:00Z,76.6181,-92.7296,19.3,279.7,At Anchor,False,8,160.2,-45.4
614022050,2026-01-18T03:24:00Z,28.3479,62.0615,0.9,300.2,Moored,True,5,106.1,74.3
648721599,2026-10-20T19:39:00Z,88.8205,-104.8405,16.0,111.2,Moored,True,8,27.0,18.9
629607462,2026-03-09T12:11:00Z,48.717,-33.5288,15.7,335.4,At Anchor,False,15,203.8,-0.2
438102804,2026-04-29T11:57:00Z,-8.6183,7.527,16.5,68.5,Under Way,True,13,335.4,50.9
410444994,2026-03-27T12:16:00Z,14.3492,104.1229,1.4,164.4,At Anchor,True,13,309.6,14.6
738790875,2026-12-17T00:32:00Z,72.6795,149.4667,14.6,166.1,Moored,False,3,86.2,-70.4
320624243,2026-03-20T15:56:00Z,82.8167,6.6169,9.8,220.4,Under Way,True,12,243.8,77.8
649886379,2026-08-01T17:14:00Z,-63.5684,156.2234,22.8,43.3,Moored,True,11,165.6,-21.1
761838030,2026-08-26T05:07:00Z,-14.3994,83.4706,17.0,198.5,Moored,False,2,263.8,36.1
433158282,2026-02-23T08:32:00Z,71.0379,49.0476,2.6,142.3,Under Way,True,15,109.6,84.2
784062106,2026-01-03T10:53:00Z,9.2795,127.7461,25.1,45.8,At Anchor,False,13,32.0,11.5
647830647,2026-11-18T12:12:00Z,-13.4693,80.6989,21.8,284.2,At Anchor,True,0,185.9,40.1
336052886,2026-06-15T10:46:00Z,9.7792,9.9884,5.1,200.8,Under Way,True,5,176.4,5.4
787276961,2026-11-07T05:30:00Z,-82.3444,-177.4925,13.4,66.2,Moored,True,0,88.2,-100.5
780860305,2026-04-03T08:21:00Z,48.2915,-74.2504,7.7,324.6,Under Way,True,4,28.3,-80.9
520578344,2026-07-26T19:46:00Z,76.0559,-118.6728,18.9,146.1,At Anchor,True,13,201.5,23.4
455207826,2026-03-25T13:10:00Z,19.837,64.7321,0.9,266.9,Under Way,False,5,110.7,-9.6
485481754,2026-07-26T15:25:00Z,21.4025,48.0013,0.1,117.5,Moored,False,4,43.7,-41.7
270127453,2026-01-01T10:07:00Z,-80.4459,-56.2272,16.7,325.7,At Anchor,True,13,323.6,90.6
660140090,2026-05-15T00:11:00Z,-29.6941,108.223,2.8,357.6,Under Way,True,11,240.8,-7.3
772043340,2026-10-05T11:08:00Z,81.9963,-41.2211,25.5,179.5,Moored,True,13,87.3,25.4
613973879,2026-02-05T19:21:00Z,63.6091,4.6706,17.5,240.5,Moored,False,3,152.3,-93.9
452240475,2026-04-13T11:46:00Z,35.4489,-82.4832,3.9,193.5,Moored,False,13,71.5,118.3
211394760,2026-08-17T13:03:00Z,15.5224,-84.2879,23.3,9.9,At Anchor,False,4,103.5,-113.9
545105896,2026-05-31T18:11:00Z,-7.6752,-153.5411,18.5,311.5,Under Way,True,11,219.0,-92.5
515571477,2026-03-15T08:31:00Z,30.8602,-172.5825,13.2,330.2,Moored,True,1,142.4,63.1
746255510,2026-11-28T14:40:00Z,-62.1818,-61.8162,18.4,26.8,Under Way,True,15,97.5,12.2
324742591,2026-07-01T10:30:00Z,-15.5818,-37.1571,6.5,64.9,Moored,True,11,215.9,105.9
342815822,2026-07-03T23:35:00Z,21.8702,-145.6354,12.7,308.5,Under Way,False,2,212.9,65.7
208551916,2026-02-19T08:09:00Z,3.7219,-175.7036,11.8,20.5,Under Way,False,11,268.2,-45.5
789472539,2026-04-12T21:14:00Z,62.1728,-28.0928,20.9,70.1,Under Way,True,4,0.4,105.4
632129532,2026-11-26T10:47:00Z,81.838,109.6764,8.7,223.7,Moored,True,11,201.5,-74.8
306585349,2026-08-06T18:53:00Z,2.601,-72.4522,4.9,321.9,Moored,False,13,201.1,66.8
361903938,2026-05-01T23:42:00Z,68.9391,128.0884,24.8,192.9,At Anchor,True,8,148.2,-119.9
345917757,2026-03-13T22:44:00Z,-49.3651,-89.8046,16.2,125.8,Moored,False,15,24.0,92.5
742245762,2026-07-06T11:53:00Z,2.4345,2.8431,17.2,353.7,Under Way,True,14,336.6,38.0
773465268,2026-04-09T20:47:00Z,20.6024,139.2085,27.5,71.1,At Anchor,True,10,251.2,41.8
632129532,2026-01-28T12:26:00Z,-81.323,110.4444,17.5,269.6,Moored,True,10,23.0,-115.5
632129532,2026-02-02T08:31:00Z,2.6204,-151.0454,18.0,123.5,Moored,False,14,176.1,-63.7
221716335,2026-05-31T16:48:00Z,31.9326,-17.1503,20.0,96.2,Moored,False,8,88.5,-43.2
447149593,2026-12-17T05:10:00Z,-87.0846,-57.3018,16.9,205.3,Moored,True,8,111.5,-111.9
287792665,2026-10-11T05:53:00Z,13.5131,92.7789,8.8,68.9,Under Way,True,4,256.2,54.2
778281235,2026-06-04T05:34:00Z,27.2478,17.8638,9.7,34.4,At Anchor,False,2,27.1,75.4
418169543,2026-02-17T06:26:00Z,-44.6394,-65.1576,20.7,14.3,Moored,False,8,125.2,-79.1
580232268,2026-05-12T09:35:00Z,62.0,65.9552,7.9,288.4,At Anchor,True,0,157.0,23.6
561690462,2026-12-16T23:28:00Z,-73.3554,-20.6032,8.8,16.1,Moored,False,3,84.7,-117.8
505223390,2026-03-28T03:13:00Z,61.1113,-104.2555,18.9,263.6,At Anchor,False,7,180.1,87.0
488577018,2026-02-11T21:38:00Z,17.8336,-72.7215,14.8,226.3,At Anchor,True,1,214.1,-42.8
545033469,2026-06-26T19:25:00Z,-13.3515,70.2736,0.6,325.2,Under Way,False,1,245.0,97.6
571770455,2026-10-19T03:50:00Z,-7.4657,-79.2084,25.4,285.7,Under Way,True,5,150.2,-84.9
634142832,2026-01-17T05:36:00Z,-19.7867,-60.5178,29.6,20.5,Under Way,False,13,266.5,35.4
680476451,2026-09-19T22:11:00Z,-53.6634,-97.6105,0.7,171.0,Under Way,True,2,317.9,1.6
724448480,2026-12-25T14:18:00Z,85.021,13.2006,9.8,270.0,Moored,False,9,25.7,-28.1
474472853,2026-07-16T09:17:00Z,73.5883,127.9337,6.2,151.1,Under Way,True,8,285.1,-58.8
286026287,2026-05-08T08:40:00Z,-22.1548,152.9105,23.4,217.1,At Anchor,False,8,264.8,-8.8
398193465,2026-03-30T20:17:00Z,-23.2789,78.2863,27.8,285.9,Under Way,False,2,263.0,60.8
258157843,2026-07-10T12:50:00Z,-0.971,-103.5268,16.7,149.5,Under Way,True,14,92.7,65.9
665043604,2026-03-25T10:21:00Z,-4.2606,-2.8278,15.3,85.0,Moored,False,1,192.8,106.5
708338175,2026-04-27T23:16:00Z,-35.8588,-96.3736,4.7,206.9,Under Way,True,11,131.9,-55.9
735932992,2026-01-01T09:53:00Z,58.4739,56.5356,6.5,58.0,Moored,False,4,232.3,27.2
538642695,2026-08-07T13:47:00Z,48.9669,-175.278,0.6,262.9,Moored,False,13,104.2,-102.2
248068308,2026-04-01T18:59:00Z,-46.7397,92.8587,24.4,137.7,Under Way,False,10,20.6,54.5
568947254,2026-01-12T10:40:00Z,19.3708,-26.3924,27.9,53.4,Under Way,True,14,81.1,-22.8
430213890,2026-01-15T02:33:00Z,64.5472,91.4713,13.5,278.7,Under Way,False,12,271.1,34.9
647830647,2026-05-29T07:16:00Z,59.575,-44.5153,3.5,79.4,Moored,True,8,217.8,17.6
723636831,2026-10-05T04:54:00Z,86.3146,-18.9812,4.5,345.4,Under Way,False,8,90.4,77.9
780476855,2026-07-22T16:56:00Z,-69.1843,-14.5567,8.3,290.7,At Anchor,False,4,292.5,103.8
368365433,2026-11-21T21:22:00Z,65.7557,21.6795,24.6,210.6,Under Way,True,13,345.7,70.6
515184149,2026-02-03T17:23:00Z,41.6465,-0.9326,2.1,273.6,At Anchor,True,12,130.7,-111.3
750747879,2026-05-29T18:51:00Z,-73.0027,-95.4833,19.8,189.3,Under Way,True,15,195.0,96.9
275200104,2026-04-02T09:47:00Z,-30.608,-37.158,29.8,86.7,Under Way,False,6,111.0,-44.2
361903938,2026-09-15T15:01:00Z,41.8057,84.5837,27.8,27.5,Moored,False,10,69.3,-17.2
236409764,2026-04-14T03:16:00Z,-21.8666,20.2616,6.9,152.2,Moored,True,14,224.8,104.8
723722389,2026-06-05T21:08:00Z,64.0582,-167.2975,24.6,194.1,At Anchor,True,11,259.2,97.7
783109193,2026-04-28T15:56:00Z,43.3922,-142.7966,1.9,166.9,Under Way,False,13,285.0,65.7
381712071,2026-11-22T03:31:00Z,41.474,155.8866,29.6,245.5,At Anchor,True,15,319.4,-58.8
417153380,2026-05-05T01:43:00Z,68.6858,-154.261,29.4,230.2,Moored,False,0,247.4,92.7
472097386,2026-10-17T01:29:00Z,-71.1522,-18.755,12.1,270.9,Moored,True,3,138.8,-14.0
466426533,2026-12-30T15:09:00Z,-14.72,24.0791,6.9,159.1,At Anchor,False,15,348.8,84.1
253462026,2026-04-25T14:24:00Z,-58.9262,69.9356,5.5,2.5,Moored,True,9,286.8,98.8
459764910,2026-02-21T15:36:00Z,81.1362,-77.3343,15.4,189.6,At Anchor,True,5,350.1,-66.2
631257671,2026-07-24T18:21:00Z,7.0995,138.3125,14.3,96.9,At Anchor,True,11,222.0,-102.1
723722389,2026-10-10T22:02:00Z,58.527,-156.4794,19.2,133.2,Moored,False,12,347.2,96.9
429191774,2026-07-02T23:44:00Z,84.5456,156.0844,7.4,35.4,Under Way,False,1,163.1,58.7
498768789,2026-07-03T11:52:00Z,41.3976,-156.875,4.2,268.2,Moored,True,12,235.1,113.9
444890693,2026-09-14T14:34:00Z,-39.8972,-3.0715,4.6,356.7,Moored,False,7,104.4,-105.3
580720286,2026-09-07T09:03:00Z,22.1897,12.4736,15.0,203.2,Moored,False,13,318.6,-48.9
597682613,2026-06-07T23:31:00Z,-74.5077,-79.4208,7.0,93.0,Under Way,False,1,194.3,-49.4
699529355,2026-04-02T07:22:00Z,62.064,48.1199,1.3,319.4,At Anchor,True,4,240.4,-66.5
369325711,2026-01-22T18:36:00Z,22.7023,-33.7798,17.5,194.3,At Anchor,True,1,85.2,81.1
579409855,2026-10-21T18:29:00Z,-50.9109,-131.3671,6.8,32.1,At Anchor,True,0,40.8,53.2
224255892,2026-10-08T14:17:00Z,26.0203,125.0139,9.1,137.1,At Anchor,True,9,299.0,-94.8
239574544,2026-12-13T06:47:00Z,30.4043,177.2152,9.7,347.1,At Anchor,False,11,17.4,-74.3
504831183,2026-04-23T21:55:00Z,-3.9254,164.2363,23.5,279.5,Moored,True,10,40.5,-92.4
647830647,2026-05-24T14:06:00Z,64.205,-139.5785,24.4,196.7,At Anchor,True,2,32.7,15.7
361903938,2026-03-27T00:18:00Z,14.41,2.0818,25.7,165.9,Under Way,False,14,179.1,-103.1
580720286,2026-01-11T07:33:00Z,-46.2606,-90.7581,26.5,205.0,At Anchor,True,6,335.5,110.6
598230058,2026-09-13T09:55:00Z,73.4347,74.1373,0.1,319.3,At Anchor,True,0,324.0,93.0
604969493,2026-04-10T20:02:00Z,-78.4857,-63.3193,23.4,28.3,Moored,True,0,255.9,-120.0
269833961,2026-05-04T01:52:00Z,-62.8649,29.274,29.0,225.4,Under Way,True,13,10.8,-34.6
403275944,2026-05-25T20:32:00Z,-71.5603,110.6232,13.7,284.5,At Anchor,False,12,327.8,54.7
724448480,2026-10-03T14:07:00Z,12.236,129.5946,11.5,266.4,At Anchor,True,0,23.6,109.7
430248110,2026-09-01T08:34:00Z,-46.3362,-80.7417,1.5,66.3,Moored,True,11,21.3,-57.4
260690058,2026-01-26T10:50:00Z,50.8837,68.7576,12.8,112.5,At Anchor,True,15,27.1,-88.3
512009169,2026-02-12T17:18:00Z,-42.977,-3.1521,21.7,35.1,Under Way,False,3,86.3,6.8
298360481,2026-11-20T05:48:00Z,68.3024,105.9074,16.4,90.0,Moored,False,6,277.1,93.0
378984233,2026-08-30T18:39:00Z,59.4401,-165.3622,27.3,22.2,Moored,False,13,58.7,-97.6
393509366,2026-08-14T16:28:00Z,-20.8203,-99.6004,2.6,331.8,At Anchor,True,10,217.8,14.9
226809877,2026-10-18T11:51:00Z,72.8913,173.487,28.6,77.7,At Anchor,False,6,31.4,87.8
716823280,2026-03-04T10:15:00Z,37.2704,-1.1528,7.9,178.6,Moored,True,14,198.4,90.4
320624243,2026-03-18T12:36:00Z,53.6416,-162.6895,1.5,128.0,At Anchor,True,3,134.2,125.0
760384526,2026-02-13T12:39:00Z,19.8681,66.9137,24.9,195.8,Moored,False,0,85.3,123.2
776350480,2026-03-18T02:57:00Z,25.279,-12.0892,6.7,353.0,At Anchor,True,2,130.4,-18.3
275369472,2026-09-09T22:08:00Z,1.3768,138.3268,16.9,243.8,Under Way,True,10,210.0,-38.5
608459693,2026-07-02T06:23:00Z,57.5199,5.4145,21.8,82.0,At Anchor,False,6,238.1,87.4
790078615,2026-10-04T06:57:00Z,-46.7516,18.9859,16.0,337.2,At Anchor,False,8,267.5,-57.2
303830441,2026-07-03T21:58:00Z,-67.6975,-3.9396,28.7,291.8,Under Way,True,12,116.3,25.5
394645869,2026-06-06T11:02:00Z,10.0366,-115.2582,7.2,200.0,Moored,False,11,267.8,-24.5
422236152,2026-02-08T07:40:00Z,-58.5144,-130.0478,7.4,312.2,Moored,False,15,214.8,53.7
218251125,2026-11-28T10:26:00Z,78.4684,121.6179,6.1,340.9,Under Way,False,4,53.3,-60.5
541119258,2026-03-02T06:05:00Z,37.5326,-73.0471,1.5,67.8,Moored,False,13,182.8,-47.8
642979664,2026-11-03T04:06:00Z,7.2769,-86.7994,0.6,96.2,At Anchor,False,9,240.1,88.2
303830441,2026-11-09T21:40:00Z,-8.5224,62.0053,24.3,186.4,Moored,False,3,153.1,120.5
677959191,2026-03-10T17:36:00Z,56.989,-58.1714,1.3,292.6,Under Way,True,0,217.7,-105.1
750940589,2026-03-09T16:18:00Z,-21.6149,149.663,4.7,330.4,At Anchor,True,1,184.1,34.3
591277434,2026-06-12T00:38:00Z,-48.1466,-19.3235,24.6,116.3,At Anchor,False,14,3.3,-15.8
775416352,2026-01-08T08:19:00Z,-2.8991,-91.4195,13.5,340.1,Under Way,True,6,139.8,-27.2
612140966,2026-11-06T23:59:00Z,18.3567,-128.9229,13.9,336.5,At Anchor,False,14,131.1,93.1
624983313,2026-12-15T20:23:00Z,-54.3625,-155.0324,5.9,93.8,Under Way,False,11,339.1,-66.5
760384526,2026-05-10T07:59:00Z,84.6245,-36.4699,9.6,351.3,Moored,True,1,346.6,-8.4
344513763,2026-06-18T15:52:00Z,-7.5825,101.1952,25.2,26.3,Under Way,True,12,8.9,-16.1
281753993,2026-12-27T13:49:00Z,-10.4262,-106.7168,20.6,132.9,Under Way,True,6,291.6,-68.7
675737967,2026-01-22T06:52:00Z,-29.0604,141.7163,18.9,97.7,Moored,True,14,171.9,2.9
305790946,2026-03-17T22:03:00Z,82.4413,-152.5922,8.8,181.5,Under Way,False,7,199.1,25.2
525093906,2026-06-21T01:55:00Z,2.5604,103.498,5.2,297.8,Moored,True,1,341.4,105.2
249217423,2026-01-31T11:18:00Z,79.3354,59.7065,7.6,255.7,At Anchor,True,12,207.6,-104.8
637173265,2026-04-26T17:48:00Z,57.5249,-14.2301,25.8,94.3,Under Way,False,15,53.2,-92.8
388953506,2026-06-02T11:03:00Z,50.5361,-61.4453,16.7,154.2,At Anchor,True,15,163.5,-99.3
394819025,2026-11-27T11:46:00Z,52.5166,-7.2584,3.3,307.4,Under Way,True,15,226.1,-30.8
527862060,2026-01-05T02:13:00Z,78.0705,120.4168,13.8,51.7,At Anchor,True,3,317.7,68.5
627568457,2026-07-22T17:13:00Z,70.7705,121.2112,11.1,23.0,At Anchor,True,15,55.4,2.2
225857489,2026-04-12T06:01:00Z,89.7388,-79.2021,14.0,124.1,Moored,False,6,9.0,115.3
628571464,2026-12-04T00:16:00Z,27.52,-18.3176,4.6,118.8,Moored,False,15,16.9,15.2
363951510,2026-11-19T09:49:00Z,41.3072,-125.5885,17.6,346.1,Moored,True,6,358.8,-88.7
203295373,2026-05-01T20:21:00Z,68.4468,154.4849,21.2,155.9,Moored,True,2,328.1,-112.3
470359883,2026-10-01T12:43:00Z,-4.8284,152.1719,1.6,337.6,At Anchor,False,1,295.9,35.0
273564660,2026-08-21T23:13:00Z,43.2051,-108.3392,12.7,337.7,Under Way,False,0,222.3,-76.4
260273820,2026-02-17T18:35:00Z,-70.0871,94.6844,19.4,298.0,At Anchor,True,8,22.5,-3.9
356273956,2026-03-27T19:43:00Z,-14.3461,123.0216,22.6,334.0,Moored,True,4,48.1,-82.9
381712071,2026-06-12T03:04:00Z,-42.2273,-25.1914,28.9,184.5,Under Way,True,1,183.9,-85.3
227501683,2026-03-27T15:31:00Z,12.8097,-141.6076,25.6,253.7,Moored,False,15,257.8,-24.7
780476855,2026-04-25T07:58:00Z,-79.6031,32.5352,28.3,127.6,Moored,False,9,169.3,-62.1
210044819,2026-01-20T22:10:00Z,35.2874,62.9611,26.9,192.9,Under Way,False,14,159.2,-49.1
697745795,2026-09-17T00:24:00Z,-87.5166,-74.7188,8.4,156.9,Moored,True,4,263.4,-1.8
510872204,2026-05-10T03:39:00Z,87.9438,-176.5699,3.6,64.4,At Anchor,False,4,307.0,0.4
378367378,2026-05-19T09:45:00Z,-31.306,109.808,24.8,124.5,Under Way,True,8,163.3,23.5
390169657,2026-11-04T04:42:00Z,66.5748,-66.5398,28.4,169.9,At Anchor,True,2,355.5,-121.3
260362728,2026-10-28T12:23:00Z,-44.079,148.9745,19.5,112.9,Moored,True,10,158.1,-47.8
789983559,2026-11-14T12:07:00Z,63.6106,81.8056,17.1,9.5,Under Way,True,14,93.6,108.2
566835528,2026-08-12T09:12:00Z,46.1008,-56.605,16.5,32.4,Moored,False,8,6.6,111.9
344513763,2026-10-11T23:15:00Z,-15.2284,-46.0791,24.4,143.8,Under Way,True,13,185.2,35.3
293447967,2026-07-08T23:24:00Z,-33.6734,131.2951,6.8,346.7,Moored,True,1,152.0,71.4
443338863,2026-10-03T09:39:00Z,9.5919,-52.2817,10.2,221.2,Under Way,True,4,134.6,89.4
479502357,2026-06-28T21:02:00Z,76.0751,-25.3875,4.1,153.4,Moored,True,0,194.0,95.3
691566561,2026-09-16T17:36:00Z,-39.8355,29.768,19.0,338.5,Under Way,True,14,259.8,-58.3
738742479,2026-04-03T03:01:00Z,-64.6948,176.6213,29.6,90.7,Moored,False,3,322.3,-108.7
704843269,2026-03-27T20:14:00Z,29.5495,-74.0534,21.1,120.1,Moored,False,15,245.0,-54.6
544913102,2026-03-02T10:37:00Z,84.8811,30.1875,15.3,3.1,Moored,False,9,359.9,81.9
604101348,2026-10-29T05:12:00Z,-31.1114,-171.912,22.6,247.1,Moored,False,12,291.1,-114.8
289401636,2026-08-07T06:21:00Z,29.965,-170.6315,20.3,82.3,Under Way,True,6,147.1,-112.8
677561700,2026-03-04T01:09:00Z,-86.2004,66.7549,2.3,229.6,At Anchor,False,4,110.9,-19.7
299479186,2026-06-02T11:24:00Z,-18.6389,84.8316,18.4,50.3,Under Way,False,9,133.1,-106.4
286089776,2026-11-21T22:30:00Z,-52.8373,-52.807,15.8,338.1,At Anchor,False,12,69.8,-25.9
613845594,2026-07-26T07:23:00Z,31.5768,-144.0501,6.1,67.8,Under Way,False,0,328.8,-5.5
642530542,2026-05-20T23:55:00Z,17.4329,65.9177,26.7,157.4,Under Way,True,8,246.6,-2.7
