name,flag,program,imo,mmsi,source,risk_category
MA JIN,pa,UK FCDO Sanctions,9346744,,OpenSanctions,sanction
JUPITER I,ru,UK FCDO Sanctions,9599341,,OpenSanctions,sanction
DESTAN,pa,UK FCDO Sanctions,9388766,,OpenSanctions,sanction
YANGTZE,ga,UK FCDO Sanctions,9274800,,OpenSanctions,sanction
TIBURON,bb,UK FCDO Sanctions,9283291,,OpenSanctions,sanction
ARGENT,gw,UK FCDO Sanctions,9293002,,OpenSanctions,sanction
EDERRA,pw,UK FCDO Sanctions,9258026,,OpenSanctions,sanction
NICHOLE,pa,UK FCDO Sanctions,9332822,,OpenSanctions,sanction
BELGOROD,ru,UK FCDO Sanctions,9412359,,OpenSanctions,sanction
ATTICA,ga,UK FCDO Sanctions,9436941,,OpenSanctions,sanction
THEA,pa,UK FCDO Sanctions,9290309,,OpenSanctions,sanction
CEPHEUS,pa,UK FCDO Sanctions,9299721,,OpenSanctions,sanction
KOLOMNA,ru,UK FCDO Sanctions,9341093,,OpenSanctions,sanction
ANATOLY KOLODKIN,ru,UK FCDO Sanctions,9610808,,OpenSanctions,sanction
KEMEROVO,ru,UK FCDO Sanctions,9312884,,OpenSanctions,sanction
DAKSHA,nan,UK FCDO Sanctions,9259185,,OpenSanctions,sanction
GEORGY MASLOV,ru,UK FCDO Sanctions,9610793,,OpenSanctions,sanction
NANDA DEVI,ga,UK FCDO Sanctions,9274434,,OpenSanctions,sanction
SULEYMAN I,pa,UK FCDO Sanctions,9297371,,OpenSanctions,sanction
ATALANTA,ga,UK FCDO Sanctions,9319882,,OpenSanctions,sanction
ARIADNE,ga,UK FCDO Sanctions,9289752,,OpenSanctions,sanction
GURU,ga,UK FCDO Sanctions,9353096,,OpenSanctions,sanction
KSENA,pa,UK FCDO Sanctions,9232888,,OpenSanctions,sanction
CHILLI,ag,UK FCDO Sanctions,9249130,,OpenSanctions,sanction
PYTHON,ck,UK FCDO Sanctions,9250531,,OpenSanctions,sanction
NEOMI,pa,UK FCDO Sanctions,9250543,,OpenSanctions,sanction
MIKATI,sl,UK FCDO Sanctions,9250892,,OpenSanctions,sanction
PORT OLYA-3,ru,UK FCDO Sanctions,9481910,,OpenSanctions,sanction
VELIKIY NOVGOROD,bb,UK FCDO Sanctions,9630004,,OpenSanctions,sanction
MULAN,pa,UK FCDO Sanctions,9864837,,OpenSanctions,sanction
MARSHAL VASILEVSKIY,ru,UK FCDO Sanctions,9778313,,OpenSanctions,sanction
EVEREST ENERGY,pw,UK FCDO Sanctions,9243148,,OpenSanctions,sanction
NS BORA,ga,UK FCDO Sanctions,9412335,,OpenSanctions,sanction
VARUNA,ga,UK FCDO Sanctions,9332810,,OpenSanctions,sanction
TURBO VOYAGER,ck,UK FCDO Sanctions,9299898,,OpenSanctions,sanction
DELVINA,bb,UK FCDO Sanctions,9331153,,OpenSanctions,sanction
BRATSK,ru,UK FCDO Sanctions,9411020,,OpenSanctions,sanction
VALOUR,gn,UK FCDO Sanctions,9410894,,OpenSanctions,sanction
AGNES,pa,UK FCDO Sanctions,9314167,,OpenSanctions,sanction
UTAKI,sl,UK FCDO Sanctions,9262924,,OpenSanctions,sanction
SAGAR VIOLET,pw,UK FCDO Sanctions,9292981,,OpenSanctions,sanction
NURKEZ,pa,UK FCDO Sanctions,9253325,,OpenSanctions,sanction
LACONIA,ga,UK FCDO Sanctions,9257022,,OpenSanctions,sanction
LANG YA,pa,UK FCDO Sanctions,9332781,,OpenSanctions,sanction
ASHER,vn,UK FCDO Sanctions,9258868,,OpenSanctions,sanction
MOTI,dj,UK FCDO Sanctions,9281011,,OpenSanctions,sanction
ANDAMAN SKIES,hn,UK FCDO Sanctions,9288693,,OpenSanctions,sanction
MINERVA M,pa,UK FCDO Sanctions,9282479,,OpenSanctions,sanction
SWIFTSEA RIDER,hn,UK FCDO Sanctions,9318539,,OpenSanctions,sanction
OCEAN FAYE,hn,UK FCDO Sanctions,9321689,,OpenSanctions,sanction
MU DAN,pa,UK FCDO Sanctions,9248801,,OpenSanctions,sanction
FAST KATHY,hn,UK FCDO Sanctions,9408205,,OpenSanctions,sanction
OCEAN EMBRACE,dj,UK FCDO Sanctions,9327372,,OpenSanctions,sanction
SAGITTA,pa,UK FCDO Sanctions,9296822,,OpenSanctions,sanction
GARASAN,ga,UK FCDO Sanctions,9323986,,OpenSanctions,sanction
PONTUS I,pa,UK FCDO Sanctions,9255660,,OpenSanctions,sanction
MARATHON,ga,UK FCDO Sanctions,9288746,,OpenSanctions,sanction
BULL,ag,UK FCDO Sanctions,9292503,,OpenSanctions,sanction
MIANZIMU,ga,UK FCDO Sanctions,9299666,,OpenSanctions,sanction
JUNIA,pa,UK FCDO Sanctions,9293155,,OpenSanctions,sanction
EMILY S,pa,UK FCDO Sanctions,9321847,,OpenSanctions,sanction
KELLY GRACE,bb,UK FCDO Sanctions,9331141,,OpenSanctions,sanction
FENG SHOU,pa,UK FCDO Sanctions,9402471,,OpenSanctions,sanction
VIKTOR BAKAEV,ru,UK FCDO Sanctions,9610810,,OpenSanctions,sanction
KRASNOYARSK,ru,UK FCDO Sanctions,9312896,,OpenSanctions,sanction
ANTARKTIKA,ru,UK FCDO Sanctions,9413559,,OpenSanctions,sanction
HS EVERETT,nan,UK FCDO Sanctions,9410870,,OpenSanctions,sanction
FACCA,pa,UK FCDO Sanctions,9271951,,OpenSanctions,sanction
SUVOROVSKY PROSPECT,ga,UK FCDO Sanctions,9522324,,OpenSanctions,sanction
GENJI,ga,UK FCDO Sanctions,9289738,,OpenSanctions,sanction
BLUE TALU,pa,UK FCDO Sanctions,9334557,,OpenSanctions,sanction
LIETO,bb,UK FCDO Sanctions,9389679,,OpenSanctions,sanction
JAMES II,pw,UK FCDO Sanctions,9253909,,OpenSanctions,sanction
PIERRE,sl,UK FCDO Sanctions,9266877,,OpenSanctions,sanction
SPRING FORTUNE,pa,UK FCDO Sanctions,9386536,,OpenSanctions,sanction
LEOPARD,vn,UK FCDO Sanctions,9284594,,OpenSanctions,sanction
NEXT,gw,UK FCDO Sanctions,9286023,,OpenSanctions,sanction
TORONTO,lr,UK FCDO Sanctions,8808525,,OpenSanctions,sanction
TEAM,pa,UK FCDO Sanctions,9292589,,OpenSanctions,sanction
RICCA,pa,UK FCDO Sanctions,9292577,,OpenSanctions,sanction
NAUTILUS,bb,UK FCDO Sanctions,9434890,,OpenSanctions,sanction
ARABELA,bb,UK FCDO Sanctions,9253313,,OpenSanctions,sanction
CETUS,nan,UK FCDO Sanctions,9418482,,OpenSanctions,sanction
RAGNAR,pw,UK FCDO Sanctions,9384095,,OpenSanctions,sanction
FURIA,nan,UK FCDO Sanctions,9257802,,OpenSanctions,sanction
OTLA,km,UK FCDO Sanctions,9299719,,OpenSanctions,sanction
MAIN,bb,UK FCDO Sanctions,9387255,,OpenSanctions,sanction
CORTEX,km,UK FCDO Sanctions,9291250,,OpenSanctions,sanction
VENGERY,ru,UK FCDO Sanctions,9451642,,OpenSanctions,sanction
PACIFICOS,nan,UK FCDO Sanctions,9288930,,OpenSanctions,sanction
OLIVE,nan,UK FCDO Sanctions,9318034,,OpenSanctions,sanction
ODUNE,nan,UK FCDO Sanctions,9229374,,OpenSanctions,sanction
OASIS,nan,UK FCDO Sanctions,9265756,,OpenSanctions,sanction
NEON,nan,UK FCDO Sanctions,9183295,,OpenSanctions,sanction
NAXOS,nan,UK FCDO Sanctions,9336426,,OpenSanctions,sanction
NARCISSUS,nan,UK FCDO Sanctions,9232931,,OpenSanctions,sanction
NACHOS,nan,UK FCDO Sanctions,9330604,,OpenSanctions,sanction
QUARTANUS,nan,UK FCDO Sanctions,9247443,,OpenSanctions,sanction
MISSONI,pa,UK FCDO Sanctions,9296810,,OpenSanctions,sanction
ASTORIA,ru,UK FCDO Sanctions,9166314,,OpenSanctions,sanction
CHENG HE,pa,UK FCDO Sanctions,9304629,,OpenSanctions,sanction
GOGLAND,pw,UK FCDO Sanctions,9430210,,OpenSanctions,sanction
VALENTE,gm,UK FCDO Sanctions,9288863,,OpenSanctions,sanction
ECHO,bb,UK FCDO Sanctions,9276030,,OpenSanctions,sanction
EAGLE S,ck,UK FCDO Sanctions,9329760,,OpenSanctions,sanction
NEER 1,gm,UK FCDO Sanctions,9224283,,OpenSanctions,sanction
NEW POWER,km,UK FCDO Sanctions,9266853,,OpenSanctions,sanction
NIMBUS SPB,ru,UK FCDO Sanctions,8821761,,OpenSanctions,sanction
NP DUDINKA,ru,UK FCDO Sanctions,9183831,,OpenSanctions,sanction
ODIN,ru,UK FCDO Sanctions,9151890,,OpenSanctions,sanction
OKEAN,ru,UK FCDO Sanctions,9142916,,OpenSanctions,sanction
OKEANSKY PROSPECT,ru,UK FCDO Sanctions,9866380,,OpenSanctions,sanction
OLAF 1,km,UK FCDO Sanctions,9224465,,OpenSanctions,sanction
JAVA,pa,UK FCDO Sanctions,9298595,,OpenSanctions,sanction
FELIKS,sl,UK FCDO Sanctions,9459242,,OpenSanctions,sanction
MILLEROVO,nan,UK FCDO Sanctions,9035541,,OpenSanctions,sanction
MONTE 1,pa,UK FCDO Sanctions,9297553,,OpenSanctions,sanction
THORIN,pa,UK FCDO Sanctions,9330472,,OpenSanctions,sanction
SPIRIT 2,pa,UK FCDO Sanctions,9409259,,OpenSanctions,sanction
MARLIN,ru,UK FCDO Sanctions,9585912,,OpenSanctions,sanction
KALUGA,ru,UK FCDO Sanctions,9585924,,OpenSanctions,sanction
EVITA,bb,UK FCDO Sanctions,9408530,,OpenSanctions,sanction
VIPER,pa,UK FCDO Sanctions,9299874,,OpenSanctions,sanction
UNITE,gw,UK FCDO Sanctions,9308132,,OpenSanctions,sanction
PONE,gw,UK FCDO Sanctions,9306562,,OpenSanctions,sanction
OCEAN AUTUMN,pa,UK FCDO Sanctions,9379052,,OpenSanctions,sanction
MIRES,sl,UK FCDO Sanctions,9299771,,OpenSanctions,sanction
LEBRE,bb,UK FCDO Sanctions,9255672,,OpenSanctions,sanction
KYLO,ck,UK FCDO Sanctions,9189146,,OpenSanctions,sanction
JAZZ,pa,UK FCDO Sanctions,9337327,,OpenSanctions,sanction
YODAN,bb,UK FCDO Sanctions,9304356,,OpenSanctions,sanction
BLUE,ag,UK FCDO Sanctions,9236353,,OpenSanctions,sanction
MD MIRANDA,nan,UK FCDO Sanctions,9198290,,OpenSanctions,sanction
MARABELLA SUN,nan,UK FCDO Sanctions,9323376,,OpenSanctions,sanction
HUANG HE,pa,UK FCDO Sanctions,9306627,,OpenSanctions,sanction
HIMALAYA,pa,UK FCDO Sanctions,9314882,,OpenSanctions,sanction
SOFOS,ck,UK FCDO Sanctions,9278064,,OpenSanctions,sanction
SAATHI,pa,UK FCDO Sanctions,9402732,,OpenSanctions,sanction
RIGEL,pa,UK FCDO Sanctions,9296406,,OpenSanctions,sanction
REUS,sl,UK FCDO Sanctions,9253076,,OpenSanctions,sanction
RAVEN,bb,UK FCDO Sanctions,9205067,,OpenSanctions,sanction
YI TONG,pa,UK FCDO Sanctions,9259733,,OpenSanctions,sanction
XUE SONG,ga,UK FCDO Sanctions,9428358,,OpenSanctions,sanction
XING CHEN,pa,UK FCDO Sanctions,9550682,,OpenSanctions,sanction
FIORA,nan,UK FCDO Sanctions,9282493,,OpenSanctions,sanction
WU TAI,pa,UK FCDO Sanctions,9419151,,OpenSanctions,sanction
DELIVER,nan,UK FCDO Sanctions,9194983,,OpenSanctions,sanction
WUDI,pa,UK FCDO Sanctions,9335094,,OpenSanctions,sanction
VOLANS,bb,UK FCDO Sanctions,9422988,,OpenSanctions,sanction
VENUS III,ru,UK FCDO Sanctions,9599353,,OpenSanctions,sanction
VAYU 1,ga,UK FCDO Sanctions,9290517,,OpenSanctions,sanction
HATTI,bb,UK FCDO Sanctions,9247883,,OpenSanctions,sanction
GURUDEV,pa,UK FCDO Sanctions,9253234,,OpenSanctions,sanction
GAURI,bb,UK FCDO Sanctions,9270749,,OpenSanctions,sanction
EAST 1,nan,UK FCDO Sanctions,9240885,,OpenSanctions,sanction
E MEI SHAN,pa,UK FCDO Sanctions,9290828,,OpenSanctions,sanction
DENEB,sl,UK FCDO Sanctions,9301524,,OpenSanctions,sanction
BEAST,pw,UK FCDO Sanctions,9290921,,OpenSanctions,sanction
CAI YUN,pa,UK FCDO Sanctions,9437983,,OpenSanctions,sanction
BONIFACY,pw,UK FCDO Sanctions,9284726,,OpenSanctions,sanction
FUGA BLUEMARINE,gm,UK FCDO Sanctions,9235725,,OpenSanctions,sanction
INA,ag,UK FCDO Sanctions,9308443,,OpenSanctions,sanction
IZOLA,bb,UK FCDO Sanctions,9249312,,OpenSanctions,sanction
JI LI I,pa,UK FCDO Sanctions,9384435,,OpenSanctions,sanction
JI SHUN,pa,UK FCDO Sanctions,9384447,,OpenSanctions,sanction
MAISHA,nan,UK FCDO Sanctions,9232929,,OpenSanctions,sanction
SHAANXI,ga,UK FCDO Sanctions,9338905,,OpenSanctions,sanction
SEZAR,pa,UK FCDO Sanctions,9259991,,OpenSanctions,sanction
MAISAN,nan,UK FCDO Sanctions,9289776,,OpenSanctions,sanction
SEALION I,pa,UK FCDO Sanctions,9234501,,OpenSanctions,sanction
MAINI,nan,UK FCDO Sanctions,9319870,,OpenSanctions,sanction
SEAL,gw,UK FCDO Sanctions,9263186,,OpenSanctions,sanction
SEA MAVERICK,sl,UK FCDO Sanctions,9265885,,OpenSanctions,sanction
SEA MARINE 1,vn,UK FCDO Sanctions,9255830,,OpenSanctions,sanction
SATURN I,pa,UK FCDO Sanctions,9655470,,OpenSanctions,sanction
SANDHYA,pa,UK FCDO Sanctions,9352195,,OpenSanctions,sanction
SAINT,gw,UK FCDO Sanctions,9263198,,OpenSanctions,sanction
ARABESCA,ck,UK FCDO Sanctions,9288734,,OpenSanctions,sanction
MARBLE,nan,UK FCDO Sanctions,9323974,,OpenSanctions,sanction
AQUARIUS II,pa,UK FCDO Sanctions,9346873,,OpenSanctions,sanction
AKAR WEST,bb,UK FCDO Sanctions,9258167,,OpenSanctions,sanction
AFKADA,ga,UK FCDO Sanctions,9311531,,OpenSanctions,sanction
ATLANTICOS,ru,UK FCDO Sanctions,9282986,,OpenSanctions,sanction
ARLAN,sl,UK FCDO Sanctions,9227443,,OpenSanctions,sanction
CHANDRA,pa,UK FCDO Sanctions,9353125,,OpenSanctions,sanction
CARUZO,sl,UK FCDO Sanctions,9137648,,OpenSanctions,sanction
CARCHARODON,pw,UK FCDO Sanctions,9258882,,OpenSanctions,sanction
ZANGAZUR,az,UK FCDO Sanctions,9420617,,OpenSanctions,sanction
LUCKY FAIRY,pa,UK FCDO Sanctions,9348479,,OpenSanctions,sanction
LEA I,lr,UK FCDO Sanctions,9277759,,OpenSanctions,sanction
LALIQUE,pa,UK FCDO Sanctions,9247792,,OpenSanctions,sanction
KUSTO,pa,UK FCDO Sanctions,9308833,,OpenSanctions,sanction
VENETIANS,pa,UK FCDO Sanctions,9436018,,OpenSanctions,sanction
ALISSA,ga,UK FCDO Sanctions,9273052,,OpenSanctions,sanction
STRATOS AURORA,hn,UK FCDO Sanctions,9288708,,OpenSanctions,sanction
SEA FIDELITY,ck,UK FCDO Sanctions,9285835,,OpenSanctions,sanction
SCF SAMOTLOR,ga,UK FCDO Sanctions,9421972,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE MI RIM 2",nan,Gels avoirs France,9361407,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE MI RIM",nan,Gels avoirs France,8713471,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE KANG GYE",nan,Gels avoirs France,8829593,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE JI HYE SAN",nan,Gels avoirs France,8018900,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE HUI CHON",nan,Gels avoirs France,8405270,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE HU CHANG",nan,Gels avoirs France,8330815,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE HOE RYONG",nan,Gels avoirs France,9041552,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE CHONG RIM 2",nan,Gels avoirs France,8916293,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE CHONG BONG",nan,Gels avoirs France,8909575,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE CHOL RYONG",nan,Gels avoirs France,8606173,,OpenSanctions,sanction
NAM SAN 8,nan,Gels avoirs France,8122347,,OpenSanctions,sanction
JI SONG 8,nan,Gels avoirs France,8503228,,OpenSanctions,sanction
JI SONG 6,nan,Gels avoirs France,8898740,,OpenSanctions,sanction
HAP JANG GANG 6,nan,Gels avoirs France,9066540,,OpenSanctions,sanction
CHON MYONG 1,nan,Gels avoirs France,8712362,,OpenSanctions,sanction
CHON MA SAN,nan,Gels avoirs France,8660313,,OpenSanctions,sanction
AN SAN 1,nan,Gels avoirs France,7303803,,OpenSanctions,sanction
JSC ZALIV SHIPYARD,nan,Gels avoirs France,1745868,,OpenSanctions,sanction
HAO FAN 6,nan,EU Sanctions Map,8628597,341985000,OpenSanctions,sanction
JIE SHUN,nan,EU Sanctions Map,8518780,514569000,OpenSanctions,sanction
HENG TAI,nan,EU Sanctions Map,9419448,,OpenSanctions,sanction
LADY SEVDA,nan,EU Sanctions Map,9683738,,OpenSanctions,sanction
SAKINA,nan,EU Sanctions Map,9530917,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE O RANG",nan,Gels avoirs France,8829555,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE RA NAM 2",nan,Gels avoirs France,8625545,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE RA NAM 3",nan,Gels avoirs France,9314650,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE RYO MYONG",nan,Gels avoirs France,8987333,,OpenSanctions,sanction
MYOHYANG SHIPPING CO,nan,Gels avoirs France,5988369,,OpenSanctions,sanction
KOTI CORP,nan,Gels avoirs France,5982254,,OpenSanctions,sanction
KOREA YUJONG SHIPPING CO LTD,nan,Gels avoirs France,9036387,,OpenSanctions,sanction
KOREA SAMMA SHIPPING CO.,nan,Gels avoirs France,5145892,,OpenSanctions,sanction
KOREA SAMJONG SHIPPING,nan,Gels avoirs France,5954061,,OpenSanctions,sanction
KOREA MYONGDOK SHIPPING CO,nan,Gels avoirs France,5985863,,OpenSanctions,sanction
KOREA ANSAN SHIPPING COMPANY,nan,Gels avoirs France,5676084,,OpenSanctions,sanction
KOREA ACHIM SHIPPING CO,nan,Gels avoirs France,5936312,,OpenSanctions,sanction
HAPJANGGANG SHIPPING CORP,nan,Gels avoirs France,5787684,,OpenSanctions,sanction
FIRST OIL JV CO LTD,nan,Gels avoirs France,5963351,,OpenSanctions,sanction
CHONMYONG SHIPPING CO,nan,Gels avoirs France,5571322,,OpenSanctions,sanction
CHONG-CHONGANG SHIPPING COMPANY,nan,Gels avoirs France,5342883,,OpenSanctions,sanction
YU SON,nan,Gels avoirs France,8691702,,OpenSanctions,sanction
YU PHYONG 5,nan,Gels avoirs France,8605026,,OpenSanctions,sanction
WOORY STAR,nan,Gels avoirs France,8408595,,OpenSanctions,sanction
SAM MA 2,nan,Gels avoirs France,8106496,,OpenSanctions,sanction
SAM JONG 2,nan,Gels avoirs France,7408873,,OpenSanctions,sanction
SAM JONG 1,nan,Gels avoirs France,8405311,,OpenSanctions,sanction
PAEK MA,nan,Gels avoirs France,9066978,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE TONG HUNG SAN",nan,Gels avoirs France,7937317,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE TONG HUNG 1",nan,Gels avoirs France,8661575,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE THAE PYONG SAN",nan,Gels avoirs France,9009085,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE TAN CHON",nan,Gels avoirs France,7640378,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE SOUTH HILL 2",nan,Gels avoirs France,8412467,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE SONGJIN",nan,Gels avoirs France,8133530,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE SE PHO",nan,Gels avoirs France,8819017,,OpenSanctions,sanction
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED - NAVIRE RYONG RIM",nan,Gels avoirs France,8018912,,OpenSanctions,sanction
YU JONG 2,nan,Gels avoirs France,8604917,,OpenSanctions,sanction
PHYONGCHON SHIPPING & MARINE,nan,Gels avoirs France,5878561,,OpenSanctions,sanction
PETREL 8,nan,EU Sanctions Map,9562233,620233000,OpenSanctions,sanction
TONG SAN 2,nan,EU Sanctions Map,8937675,445539000,OpenSanctions,sanction
SURREY QUAYS,nan,EU Sanctions Map,9350654,,OpenSanctions,sanction
KORD ATLANTIC,nan,EU Sanctions Map,9299161,,OpenSanctions,sanction
SUCCESS (FORMERLY SCF AMUR),nan,EU Sanctions Map,9333436,,OpenSanctions,sanction
EAST ENERGY,nan,EU Sanctions Map,9216298,,OpenSanctions,sanction
CALLISTO,nan,EU Sanctions Map,9299692,,OpenSanctions,sanction
FRUNZE,nan,EU Sanctions Map,9263643,,OpenSanctions,sanction
DENVER,nan,EU Sanctions Map,9382712,,OpenSanctions,sanction
SAKARYA,nan,EU Sanctions Map,9524463,,OpenSanctions,sanction
KALININGRAD,nan,EU Sanctions Map,9341067,,OpenSanctions,sanction
AZURE CELESTE,nan,EU Sanctions Map,9288722,,OpenSanctions,sanction
TRUST,nan,EU Sanctions Map,9382798,,OpenSanctions,sanction
GALAXY,nan,EU Sanctions Map,9826902,,OpenSanctions,sanction
MANASLU,nan,EU Sanctions Map,9388027,,OpenSanctions,sanction
NS LEADER,nan,EU Sanctions Map,9339301,,OpenSanctions,sanction
LILY (FORMERLY DABAN),nan,EU Sanctions Map,9294331,,OpenSanctions,sanction
GAZPROMNEFT NORDEAST,nan,EU Sanctions Map,9422653,,OpenSanctions,sanction
EVENTIN,nan,EU Sanctions Map,9308065,,OpenSanctions,sanction
NORTH AIR,nan,EU Sanctions Map,9953509,,OpenSanctions,sanction
VLADIMIR MONOMAKH,nan,EU Sanctions Map,9842176,,OpenSanctions,sanction
SEABASS,nan,EU Sanctions Map,9266750,,OpenSanctions,sanction
APUS,nan,EU Sanctions Map,9280885,,OpenSanctions,sanction
PREMIER,nan,EU Sanctions Map,9577082,,OpenSanctions,sanction
TANGO,nan,EU Sanctions Map,9292058,,OpenSanctions,sanction
GELOR (FORMERLY ARTARA),nan,EU Sanctions Map,9185528,,OpenSanctions,sanction
