mmsi,mean_frequency,std_frequency,mean_bandwidth,mean_power,mean_signal_strength,mean_noise_level,mean_snr,mean_lat,mean_lon,nb_signatures,name,flag,type,mean_cfo_hz
232898606,161.975,3.2e-07,25.13,12.5,-73.7,-126.0,52.4,3.5047363636363644,35.35150909090908,11,NAVIRE-8606,France,General Cargo,0.3
232986245,162.024997,3.42e-06,25.59,12.5,-73.3,-126.0,52.7,7.943466666666666,-49.07750000000001,3,NAVIRE-6245,France,General Cargo,-3.4
233953583,162.025098,9.84e-05,25.1,12.5,-72.0,-126.0,54.0,-25.875975,-10.546375000000005,4,NAVIRE-3583,Singapore,Bulk Carrier,98.4
234821769,162.025073,7.339e-05,25.22,12.5,-73.5,-126.0,52.5,22.181083333333333,-42.901250000000005,6,NAVIRE-1769,Marshall Islands,Container Ship,73.4
236109802,161.975023,2.286e-05,25.24,12.5,-71.5,-126.0,54.5,8.6825375,-38.8696875,8,NAVIRE-9802,Liberia,Bulk Carrier,22.9
236409764,161.974996,3.8e-06,25.12,12.5,-71.4,-126.0,54.6,-43.9269,80.8207,3,NAVIRE-9764,Marshall Islands,Container Ship,-3.8
236576735,162.024993,6.99e-06,24.92,2.0,-81.7,-126.0,44.3,13.1807625,-6.398312499999999,8,NAVIRE-6735,Denmark,Fishing Vessel,-7.0
236700807,162.02495,5.048e-05,24.71,12.5,-73.3,-126.0,52.8,23.072375,1.8310000000000048,4,NAVIRE-0807,Singapore,Tanker,-50.5
236799075,162.025042,4.205e-05,24.87,2.0,-80.2,-126.0,45.8,-17.107542857142857,10.236128571428576,7,NAVIRE-9075,Liberia,Fishing Vessel,42.1
237361564,161.974952,4.83e-05,24.95,12.5,-72.2,-126.0,53.8,-4.783525,-63.998225000000005,8,NAVIRE-1564,Malta,Passenger Ship,-48.3
238178908,161.974792,0.00020843,25.11,12.5,-72.4,-126.0,53.6,5.865266666666666,55.389399999999995,3,NAVIRE-8908,Marshall Islands,Bulk Carrier,-208.4
239547546,161.974838,0.00016224,25.21,12.5,-71.8,-126.0,54.2,-18.856983333333332,-36.38548333333333,6,NAVIRE-7546,Liberia,General Cargo,-162.2
239574544,161.975114,0.00011362,25.03,12.5,-72.3,-126.0,53.8,-52.25596,-5.754680000000001,5,NAVIRE-4544,China,Passenger Ship,113.6
240011469,162.024959,4.127e-05,25.21,12.5,-73.0,-126.0,53.1,3.3785666666666665,14.080300000000005,6,NAVIRE-1469,Liberia,Passenger Ship,-41.3
242221601,162.024916,8.411e-05,24.52,2.0,-81.0,-126.0,45.1,62.54365,-17.7359,2,NAVIRE-1601,Denmark,Fishing Vessel,-84.1
242442486,161.975028,2.761e-05,25.07,12.5,-72.2,-126.0,53.8,-0.7545750000000013,10.573700000000002,4,NAVIRE-2486,France,Container Ship,27.6
242569188,161.974957,4.286e-05,25.36,12.5,-71.5,-126.0,54.5,-23.84136,15.826506666666663,15,NAVIRE-9188,Liberia,Container Ship,-42.9
243740029,162.024891,0.00010936,25.04,2.0,-79.9,-126.0,46.2,24.02556,13.229879999999998,5,NAVIRE-0029,USA,Fishing Vessel,-109.4
244246514,161.974846,0.00015399,25.09,12.5,-71.8,-126.0,54.2,-38.8148,-63.03965,2,NAVIRE-6514,Bahamas,Tanker,-154.0
245445168,161.975046,4.627e-05,24.93,12.5,-73.5,-126.0,52.5,-13.005380000000002,67.44232000000001,5,NAVIRE-5168,France,Tanker,46.3
245472810,161.97484,0.00015958,25.32,12.5,-73.0,-126.0,53.0,-13.1638,31.45036,5,NAVIRE-2810,Panama,Bulk Carrier,-159.6
245760948,161.975009,9.2e-06,25.57,12.5,-73.4,-126.0,52.6,64.6234,-2.5871000000000066,2,NAVIRE-0948,China,Container Ship,9.2
245808653,162.025138,0.00013796,25.53,12.5,-71.3,-126.0,54.7,74.8387,155.4364,1,NAVIRE-8653,Malta,Tanker,138.0
246056778,161.974843,0.00015664,25.12,2.0,-79.9,-126.0,46.2,30.10145833333333,50.391391666666664,12,NAVIRE-6778,France,Fishing Vessel,-156.6
247443252,161.974888,0.0001115,25.11,12.5,-73.0,-126.0,53.0,-14.40289,-3.3440099999999964,10,NAVIRE-3252,Malta,Tanker,-111.5
247512338,161.974955,4.518e-05,24.73,12.5,-73.0,-126.0,53.0,-12.6499,9.616859999999996,5,NAVIRE-2338,Panama,Passenger Ship,-45.2
248068308,161.974721,0.00027938,25.47,12.5,-72.0,-126.0,54.0,29.95445,-10.8957,2,NAVIRE-8308,Marshall Islands,Passenger Ship,-279.4
248607497,162.024956,4.357e-05,25.3,12.5,-73.7,-126.0,52.3,-0.268440000000001,22.8781,5,NAVIRE-7497,France,Bulk Carrier,-43.6
249217423,162.024849,0.00015116,24.71,2.0,-79.3,-126.0,46.7,-15.66046666666667,-7.900799999999999,3,NAVIRE-7423,Denmark,Fishing Vessel,-151.2
249354554,161.97506,5.995e-05,25.34,12.5,-72.7,-126.0,53.3,23.42572,26.123220000000003,5,NAVIRE-4554,France,Bulk Carrier,59.9
249938716,161.975009,8.8e-06,24.88,12.5,-72.7,-126.0,53.3,18.363149999999997,-46.38080000000001,4,NAVIRE-8716,Panama,Container Ship,8.8
249974230,161.975027,2.704e-05,25.09,12.5,-72.5,-126.0,53.5,-58.37003333333333,68.7559,3,NAVIRE-4230,Panama,Container Ship,27.0
250320883,162.024938,6.187e-05,25.06,12.5,-73.3,-126.0,52.7,12.864983333333337,1.6165666666666685,6,NAVIRE-0883,Marshall Islands,General Cargo,-61.9
251261537,162.025065,6.457e-05,24.85,12.5,-71.5,-126.0,54.5,-8.44845,76.5181,2,NAVIRE-1537,Malta,Passenger Ship,64.6
251603728,161.975087,8.662e-05,24.31,2.0,-81.4,-126.0,44.6,-14.6169,5.112725000000001,4,NAVIRE-3728,China,Fishing Vessel,86.6
252620067,162.024986,1.373e-05,25.08,12.5,-71.3,-126.0,54.7,-31.050588888888893,41.92897777777778,9,NAVIRE-0067,Malta,Passenger Ship,-13.7
252789184,161.975072,7.242e-05,25.03,2.0,-81.1,-126.0,44.9,-41.80725,87.4151,2,NAVIRE-9184,USA,Fishing Vessel,72.4
253462026,161.975012,1.197e-05,25.39,12.5,-73.5,-126.0,52.5,40.71585,-92.16495,4,NAVIRE-2026,China,Container Ship,12.0
254059131,162.024984,1.64e-05,24.72,2.0,-80.9,-126.0,45.1,-30.4885875,50.798475,8,NAVIRE-9131,China,Fishing Vessel,-16.4
254445689,162.024924,7.587e-05,24.91,12.5,-71.3,-126.0,54.7,16.63118,-61.2943,5,NAVIRE-5689,Denmark,General Cargo,-75.9
254528621,162.024908,9.225e-05,25.26,12.5,-72.1,-126.0,53.9,-2.064600000000001,-5.796216666666666,6,NAVIRE-8621,USA,Passenger Ship,-92.3
255660986,161.974927,7.303e-05,24.79,12.5,-72.6,-126.0,53.4,81.3633,-17.4478,1,NAVIRE-0986,Singapore,General Cargo,-73.0
256138286,161.975085,8.496e-05,24.8,12.5,-72.2,-126.0,53.8,-13.9821,-14.3628,3,NAVIRE-8286,Bahamas,Tanker,85.0
256362827,162.024877,0.00012257,25.34,12.5,-72.2,-126.0,53.8,11.83485,11.4437,2,NAVIRE-2827,USA,Bulk Carrier,-122.6
258157843,162.024997,3.31e-06,24.9,12.5,-72.4,-126.0,53.7,-57.372150000000005,45.4754,2,NAVIRE-7843,Liberia,Passenger Ship,-3.3
258846593,162.024953,4.654e-05,25.04,12.5,-71.6,-126.0,54.5,-12.7975375,-16.157649999999997,8,NAVIRE-6593,China,Tanker,-46.5
258954341,162.025121,0.00012123,25.33,12.5,-73.5,-126.0,52.5,-51.74863333333334,66.9002,3,NAVIRE-4341,France,Bulk Carrier,121.2
259203883,162.024924,7.602e-05,24.95,12.5,-71.4,-126.0,54.6,10.735409999999998,22.57802,10,NAVIRE-3883,Malta,Passenger Ship,-76.0
260273820,161.975,2.3e-07,25.13,12.5,-71.7,-126.0,54.3,24.000133333333338,-14.416316666666669,6,NAVIRE-3820,Bahamas,Bulk Carrier,-0.2
260362728,161.974978,2.223e-05,24.9,12.5,-72.6,-126.0,53.5,-0.0576666666666649,9.404666666666666,3,NAVIRE-2728,Panama,Container Ship,-22.2
260490181,162.024933,6.7e-05,25.11,2.0,-79.3,-126.0,46.7,10.8829,-41.94531666666667,6,NAVIRE-0181,Panama,Fishing Vessel,-67.0
260690058,161.975164,0.00016427,24.88,12.5,-72.9,-126.0,53.1,19.876316666666668,34.807583333333326,6,NAVIRE-0058,France,Passenger Ship,164.3
260756426,161.975103,0.00010294,24.76,12.5,-71.8,-126.0,54.2,14.957483333333334,42.3015,6,NAVIRE-6426,Singapore,Container Ship,102.9
260984664,161.975057,5.684e-05,24.58,2.0,-79.4,-126.0,46.6,42.87866666666667,-81.88893333333333,3,NAVIRE-4664,Panama,Fishing Vessel,56.8
263371036,161.974985,1.454e-05,25.05,2.0,-79.8,-126.0,46.3,35.39015,52.51865,4,NAVIRE-1036,Bahamas,Fishing Vessel,-14.5
264651594,161.974988,1.248e-05,25.11,12.5,-73.5,-126.0,52.5,-3.5045857142857133,28.00041428571429,7,NAVIRE-1594,Malta,Container Ship,-12.5
266304575,162.024954,4.646e-05,24.92,12.5,-72.5,-126.0,53.5,7.65346,52.80445999999999,5,NAVIRE-4575,Panama,General Cargo,-46.5
266578761,162.024908,9.225e-05,24.55,2.0,-81.1,-126.0,44.9,-47.794875,-42.8179,4,NAVIRE-8761,France,Fishing Vessel,-92.3
267514528,161.975219,0.00021874,25.21,12.5,-73.0,-126.0,53.0,-55.6832,-96.38190000000002,3,NAVIRE-4528,Marshall Islands,General Cargo,218.7
269833961,162.025033,3.342e-05,25.31,12.5,-71.7,-126.0,54.3,-6.521699999999999,-103.004225,4,NAVIRE-3961,France,General Cargo,33.4
270127453,162.025026,2.595e-05,24.63,12.5,-73.2,-126.0,52.8,-4.199966666666665,-41.15001111111111,9,NAVIRE-7453,China,General Cargo,25.9
270308779,162.025004,3.97e-06,24.97,12.5,-71.7,-126.0,54.3,-8.176885714285714,-95.26488571428573,7,NAVIRE-8779,China,General Cargo,4.0
270851441,162.024979,2.107e-05,25.12,12.5,-73.8,-126.0,52.2,4.716066666666667,55.07416666666668,3,NAVIRE-1441,Marshall Islands,General Cargo,-21.1
271063396,161.974969,3.07e-05,24.79,12.5,-71.3,-126.0,54.7,9.48785,20.537166666666664,6,NAVIRE-3396,Singapore,Bulk Carrier,-30.7
272130864,161.974757,0.00024328,24.41,12.5,-71.7,-126.0,54.3,45.91693333333333,76.5802,3,NAVIRE-0864,Singapore,Tanker,-243.3
272132718,161.975078,7.798e-05,24.67,12.5,-72.0,-126.0,54.1,-6.448414285714286,-47.201771428571426,7,NAVIRE-2718,Liberia,General Cargo,78.0
272481430,161.974971,2.928e-05,25.09,2.0,-79.9,-126.0,46.1,15.03976,-31.229060000000004,5,NAVIRE-1430,Marshall Islands,Fishing Vessel,-29.3
272653360,161.975053,5.286e-05,25.44,12.5,-72.5,-126.0,53.5,38.7227,29.937499999999993,5,NAVIRE-3360,Marshall Islands,Tanker,52.9
272658165,162.025022,2.169e-05,25.3,12.5,-71.8,-126.0,54.3,29.245783333333332,-19.181816666666663,6,NAVIRE-8165,China,Container Ship,21.7
272713588,161.975049,4.869e-05,25.42,2.0,-79.5,-126.0,46.5,3.1641199999999996,23.849580000000003,5,NAVIRE-3588,Singapore,Fishing Vessel,48.7
273148379,162.025051,5.051e-05,25.14,12.5,-73.7,-126.0,52.3,15.032050000000002,16.7809,4,NAVIRE-8379,Panama,Passenger Ship,50.5
273564660,161.97517,0.00016964,24.93,12.5,-72.5,-126.0,53.5,4.436766666666664,-44.53933333333333,3,NAVIRE-4660,France,Bulk Carrier,169.6
273664882,161.97505,4.983e-05,24.9,12.5,-71.3,-126.0,54.7,3.7613000000000008,19.399783333333332,6,NAVIRE-4882,Bahamas,Bulk Carrier,49.8
274434905,162.025051,5.111e-05,24.76,12.5,-71.6,-126.0,54.5,15.5644,-8.56656,5,NAVIRE-4905,Liberia,Tanker,51.1
274778707,162.024976,2.399e-05,24.92,2.0,-81.4,-126.0,44.6,-6.594525000000001,81.3306,4,NAVIRE-8707,Malta,Fishing Vessel,-24.0
274897537,162.025001,5.4e-07,25.0,2.0,-81.4,-126.0,44.6,25.202266666666663,-1.6237499999999987,6,NAVIRE-7537,Malta,Fishing Vessel,0.5
275200104,161.97512,0.0001201,25.42,12.5,-71.5,-126.0,54.6,-36.437,107.69725,2,NAVIRE-0104,Bahamas,Container Ship,120.1
275369472,161.974981,1.907e-05,24.97,12.5,-73.7,-126.0,52.3,6.738028571428572,-26.0314,7,NAVIRE-9472,China,Tanker,-19.1
275509216,161.974867,0.00013321,25.06,12.5,-73.7,-126.0,52.3,21.3877,-43.433125,4,NAVIRE-9216,Marshall Islands,Container Ship,-133.2
275630215,162.024884,0.00011631,25.2,2.0,-81.5,-126.0,44.6,0.2831999999999993,2.3925000000000054,10,NAVIRE-0215,Panama,Fishing Vessel,-116.3
277439544,161.974924,7.635e-05,24.51,12.5,-73.8,-126.0,52.2,-7.606928571428571,6.697871428571426,7,NAVIRE-9544,Singapore,Bulk Carrier,-76.4
278144112,161.975037,3.746e-05,24.72,12.5,-72.9,-126.0,53.1,6.815440000000001,51.857479999999995,5,NAVIRE-4112,Liberia,Passenger Ship,37.5
279762531,162.02493,6.976e-05,24.75,12.5,-72.2,-126.0,53.8,12.885925,-77.51554999999999,4,NAVIRE-2531,Bahamas,Bulk Carrier,-69.8
279944509,162.024967,3.303e-05,25.06,12.5,-71.7,-126.0,54.3,11.14264,-11.848539999999998,10,NAVIRE-4509,France,Tanker,-33.0
280901691,162.024981,1.95e-05,24.15,12.5,-72.4,-126.0,53.6,23.35065,-7.53994999999999,2,NAVIRE-1691,France,Passenger Ship,-19.5
281753993,162.025013,1.27e-05,24.79,12.5,-73.4,-126.0,52.6,2.602500000000002,-1.1194666666666724,6,NAVIRE-3993,Marshall Islands,Container Ship,12.7
282716427,162.024926,7.356e-05,25.43,12.5,-73.1,-126.0,52.9,-30.6729,43.989025,4,NAVIRE-6427,Panama,Container Ship,-73.6
283205861,162.024822,0.00017812,25.2,2.0,-81.4,-126.0,44.6,46.4744,-108.81076666666668,3,NAVIRE-5861,Denmark,Fishing Vessel,-178.1
283486500,161.974925,7.484e-05,24.71,2.0,-79.5,-126.0,46.5,5.6812666666666685,12.616166666666668,6,NAVIRE-6500,Panama,Fishing Vessel,-74.8
284896056,161.974904,9.644e-05,25.01,12.5,-71.8,-126.0,54.2,15.3012,31.56855,4,NAVIRE-6056,Liberia,General Cargo,-96.4
285312502,161.974902,9.828e-05,24.61,12.5,-72.7,-126.0,53.3,1.864611111111112,94.9610222222222,9,NAVIRE-2502,Liberia,Container Ship,-98.3
285869970,161.974948,5.237e-05,25.15,12.5,-73.3,-126.0,52.7,-20.7953,-0.7927666666666712,6,NAVIRE-9970,Panama,General Cargo,-52.4
286026287,162.025026,2.64e-05,25.55,12.5,-73.2,-126.0,52.8,14.522257142857145,71.25162857142857,7,NAVIRE-6287,Marshall Islands,Container Ship,26.4
286089776,161.974866,0.00013431,25.07,12.5,-73.3,-126.0,52.8,-21.322933333333335,-7.786916666666666,6,NAVIRE-9776,Singapore,Bulk Carrier,-134.3
286169281,162.025063,6.334e-05,25.0,12.5,-73.3,-126.0,52.7,-10.990277777777775,39.699288888888894,9,NAVIRE-9281,Marshall Islands,Bulk Carrier,63.3
287106487,162.024965,3.52e-05,25.21,12.5,-72.1,-126.0,53.9,-8.1359,-34.98711666666667,6,NAVIRE-6487,Singapore,Container Ship,-35.2
287767589,162.025128,0.00012826,24.98,12.5,-72.0,-126.0,54.0,-3.617733333333334,43.64626666666666,6,NAVIRE-7589,Malta,Bulk Carrier,128.3
287792665,162.02495,5.02e-05,24.71,12.5,-73.4,-126.0,52.6,27.75485714285714,41.13655714285715,7,NAVIRE-2665,Malta,Tanker,-50.2
288065994,161.975037,3.685e-05,25.16,12.5,-71.7,-126.0,54.3,-40.875175,8.129874999999997,4,NAVIRE-5994,Malta,General Cargo,36.9
288338344,161.975013,1.266e-05,25.06,12.5,-73.8,-126.0,52.3,-19.80645,43.1246,4,NAVIRE-8344,Panama,Bulk Carrier,12.7
288344510,161.97508,8.003e-05,24.92,12.5,-72.1,-126.0,53.9,-17.1226,30.656369999999992,10,NAVIRE-4510,Malta,Tanker,80.0
288730213,162.024967,3.314e-05,25.43,12.5,-72.2,-126.0,53.8,4.304457142857143,40.08208571428572,7,NAVIRE-0213,Liberia,General Cargo,-33.1
288924361,162.025115,0.0001151,24.93,2.0,-81.1,-126.0,44.9,-17.71096,7.251660000000004,5,NAVIRE-4361,Bahamas,Fishing Vessel,115.1
289401636,161.97514,0.00014041,24.66,12.5,-71.8,-126.0,54.2,-1.95337,-40.576800000000006,10,NAVIRE-1636,Bahamas,Tanker,140.4
289775372,161.974994,5.91e-06,24.94,12.5,-73.1,-126.0,53.0,30.08948571428571,-24.82768571428571,7,NAVIRE-5372,Denmark,General Cargo,-5.9
289890030,161.975126,0.00012646,24.72,12.5,-71.9,-126.0,54.2,5.426499999999998,14.887833333333331,6,NAVIRE-0030,Singapore,Container Ship,126.5
290000334,161.975022,2.157e-05,25.36,12.5,-73.7,-126.0,52.4,20.66208333333333,7.160083333333339,6,NAVIRE-0334,France,Passenger Ship,21.6
290782162,161.975112,0.00011242,24.95,12.5,-71.5,-126.0,54.5,18.66468333333333,-72.01853333333334,6,NAVIRE-2162,Panama,General Cargo,112.4
291644254,161.974989,1.095e-05,25.14,12.5,-73.5,-126.0,52.5,-7.1569,-84.98790000000001,3,NAVIRE-4254,Malta,Container Ship,-11.0
292189198,161.975107,0.00010693,24.8,12.5,-72.2,-126.0,53.8,20.9729875,-28.003949999999996,8,NAVIRE-9198,China,Container Ship,106.9
293447967,162.024872,0.00012767,24.98,12.5,-73.1,-126.0,53.0,2.759866666666665,21.4751,3,NAVIRE-7967,Bahamas,Bulk Carrier,-127.7
294304036,161.974839,0.00016073,25.38,2.0,-79.3,-126.0,46.7,26.98495,53.2639,4,NAVIRE-4036,Liberia,Fishing Vessel,-160.7
295701710,161.974946,5.409e-05,25.2,2.0,-79.4,-126.0,46.7,-17.205133333333333,78.28299999999999,3,NAVIRE-1710,Marshall Islands,Fishing Vessel,-54.1
295965871,162.024953,4.749e-05,24.93,12.5,-72.1,-126.0,53.9,-19.15205,-0.2539250000000006,4,NAVIRE-5871,China,Bulk Carrier,-47.5
296114362,161.975051,5.123e-05,25.28,12.5,-73.4,-126.0,52.7,66.95383333333332,-81.71543333333334,3,NAVIRE-4362,Singapore,Container Ship,51.2
297489083,162.025066,6.576e-05,25.0,12.5,-72.0,-126.0,54.0,37.7209,34.00396,5,NAVIRE-9083,Malta,Passenger Ship,65.8
298360481,162.024754,0.00024566,24.83,12.5,-72.7,-126.0,53.3,-35.77058571428571,67.8391,7,NAVIRE-0481,France,Tanker,-245.7
299479186,161.974876,0.0001236,24.78,12.5,-73.3,-126.0,52.7,-8.61706,27.81283999999999,5,NAVIRE-9186,Denmark,Tanker,-123.6
299685327,162.025015,1.481e-05,25.02,12.5,-72.7,-126.0,53.3,-25.141975,73.29095,4,NAVIRE-5327,China,Passenger Ship,14.8
